,indexAudible,nombreAutor
254,210,eOne
255,210,NicolásOluchaSánchez-traductor
256,211,BertrandFichou
257,212,eOne
258,212,KimmoLilja
259,213,eOne
260,213,NicolásOluchaSánchez-traductor
261,214,LaraReims
262,215,ChrisGrabenstein
263,216,A.M.Luzzader
264,217,JustinaIreland
265,218,SJKing
266,219,CarolynKeene
267,220,DavPilkey
268,221,CarolynKeene
269,222,NancySpringer
270,223,WilburSmith
271,224,CarolynKeene
272,225,PaulHutchens
273,226,RoaldDahl
274,227,DavPilkey
275,228,CarolynKeene
276,229,DevinHunter
277,230,LaurenTarshis
278,231,FranklinW.Dixon
279,232,NancySpringer
280,233,AnthonyHorowitz
281,234,FranklinW.Dixon
282,235,EliseRengot
283,236,AlastairHumphreys
284,237,AlastairHumphreys
285,238,Mattel
286,238,RaquelLuqueBenítez-traductor
287,239,GigiBigot
288,240,ValérieCros
289,241,LessoeursBranchë
290,242,VéroniqueMassenot
291,243,FabienneTeyssèdre
292,244,SégolèneValente
293,245,LessoeursBranchë
294,246,MathildeLossel
295,247,PascaleChenel
296,248,CatherinedeLasa
297,249,LessoeursBranchë
298,250,JeanLeroy
299,251,MyriamDoinet
300,252,LluisPrats
301,253,Marvel
302,254,Marvel
303,254,CamillaDunér
304,255,Marvel
305,255,CatoVandrare
306,256,BKFKStudio
307,257,MimiZagarriga
308,258,XavierGorce
309,259,OlivierDupin
310,260,MimiZagarriga
311,261,ClaudeProthée
312,262,RiekePatwardhan
313,263,FrancesBurnett
314,264,FrancesBurnett
315,265,JulioVerne
316,266,Mattel
317,266,RaquelLuqueBenítez-traductor
318,267,Mattel
319,267,RaquelLuqueBenítez-traductor
320,268,JudithKleinschmidt
321,269,Vegetta777
322,269,Willyrex
323,270,eOne
324,270,NicolásOluchaSánchez-traductor
325,271,JimBeard
326,272,Mattel
327,272,MartaCisaMuñoz-traductor
328,273,Mattel
329,273,MartaCisaMuñoz-traductor
330,274,Mattel
331,274,MartaCisaMuñoz-traductor
332,275,Mattel
333,275,MartaCisaMuñoz-traductor
334,276,VeeraVähämaa
335,277,Mattel
336,277,MartaCisaMuñoz-traductor
337,278,Mattel
338,278,MartaCisaMuñoz-traductor
339,279,RalphBennewitz
340,280,Peyo
341,280,DanielCortésCoronas-traductor
342,281,OlivierCohen
343,282,Peyo
344,282,DanielCortésCoronas-traductor
345,283,InaDeMan
346,284,AnneliseGray
347,285,eOne
348,285,AnaC.AlcainaPerez-traductor
349,286,eOne
350,286,RaffaellaCasati
351,287,eOne
352,287,AnaC.AlcainaPerez-traductor
353,288,AnneDidier
354,288,OlivierMuller
355,289,SylviaBishop
356,290,ChenJiatong
357,290,UlrikeKöbele-Übersetzer
358,291,LuisaVillarLiébana
359,292,Peyo
360,292,RaquelLuqueBenitez-traductor
361,293,JordiSierraiFabra
362,294,Peyo
363,294,RaquelLuqueBenitez-traductor
364,295,JordiSierraiFabra
365,296,CaitlinSangster
366,297,BrianFarrey
367,298,TheBrothersMcLeod
368,299,AstridLindgren
369,299,ThyraDohrenburg-Übersetzer
370,300,Mattel
371,300,NicolásOluchaSánchez
372,301,LisetteAuton
373,302,J.J.Gilbert
374,303,AminaLuqman-Dawson
375,304,DashkaSlater
376,305,KatherineApplegate
377,306,KatherineApplegate
378,307,AlexMilway
379,308,JonathanStroud
380,309,BinaOfek-translator
381,309,AlexandreDumas
382,310,TraceyWest
383,311,R.J.Palacio
384,312,JamesPatterson
385,313,DelilahS.Dawson
386,314,KatherineApplegate
387,315,TrudiTrueit
388,316,GertrudeChandlerWarner
389,317,JenniferA.Nielsen
390,318,RobBiddulph
391,319,JessicaKhoury
392,320,ThomasTaylor
393,321,KateDiCamillo
394,322,JosephDelaney
395,323,JamieLittler
396,324,HanaTooke
397,325,Mattel
398,325,MartaCisaMuñoz-traductor
399,326,TamzinMerchant
400,327,CarolynKeene
401,328,JuliaDonaldson
402,328,RebeccaCobb
403,329,PatrickCarman
404,330,AnthonyHorowitz
405,331,FranklinW.Dixon
406,332,VictoriaSchwab
407,333,AndyGriffiths
408,334,LindaSuePark
409,335,ChrisSmith
410,335,GregJames
411,336,TraceyWest
412,337,TraceyWest
413,338,RudyardKipling
414,339,RossWelford
415,340,CarolynKeene
416,341,TuiT.Sutherland
417,342,Puffin
418,343,MaryPopeOsborne
419,344,KathrynLasky
420,345,TraceyWest
421,346,JamieLittler
422,347,ShobhaViswanath
423,348,RuskinBond
424,349,WilsonRawls
425,350,MargaretPetersonHaddix
426,351,TraceyWest
427,352,JamesPatterson
428,353,DavPilkey
429,354,TerryPratchett
430,355,DevinHunter
431,356,FranklinW.Dixon
432,357,BeatrixPotter
433,358,JulioVerne
434,359,FranklinW.Dixon
435,360,CarolynKeene
436,361,FranklinW.Dixon
437,362,MadamedeNanteuil
438,363,Marvel
439,364,VictoriaSchwab
440,365,AlejandroKhan
441,366,AlejandroKhan
442,367,AlejandroKhan
443,368,AlejandroKhan
444,369,eOne
445,369,AnaC.AlcainaPerez
446,370,UlfBlanck
447,371,JulieKirchhubel
448,372,MarkCheverton
449,373,СофьяЛеонидовнаПрокофьева
450,374,Hans-PeterHain
451,375,MirjamMous
452,376,ФренсисЭлизаБёрнетт
453,377,JerzyA.Wlazło
454,378,PedroMañas
455,378,DavidSierraListón
456,379,AnnemarieNorden
457,380,PedroMañas
458,380,DavidSierraListón
459,381,Marvel
460,381,CamillaDunér
461,382,MaríaMenéndez-Ponte
462,383,LluísPrats
463,384,LluísPrats
464,385,MaríaMenéndez-Ponte
465,386,Disney
466,386,Ann-SofiJoskitt
467,387,АлександрЦыпкин
468,387,АллаЛихачёва
469,387,АлександрЕгоров
470,387,
471,388,BurkardMiltenberger
472,389,Marvel
473,389,MariaNilsson
474,390,BeatrizBerrocal
475,391,Marvel
476,391,HannaGraf
477,391,IdaJohansson
478,392,Marvel
479,393,Disney
480,393,IdaJohansson
481,394,ЭдуардШим
482,395,Marvel
483,396,АннаЛетягина
484,397,A.M.Luzzader
485,398,LesleyParr
486,399,Disney
487,399,OskarBlomberg
